date,code,market,close,volume,name
2026-01-06,00940,TWSE,9.28,46043612.0,元大台灣價值高息
2026-01-06,00941,TWSE,17.94,7486506.0,中信上游半導體
2026-01-06,00943,TWSE,14.31,526403.0,兆豐電子高息等權
2026-01-06,00944,TWSE,14.58,1277997.0,野村趨勢動能高息
2026-01-06,00945B,TWSE,14.53,6807287.0,凱基美國非投等債
2026-01-06,00946,TWSE,9.6,12298870.0,群益科技高息成長
2026-01-06,00947,TWSE,19.92,4511649.0,台新臺灣IC設計
2026-01-06,00949,TWSE,18.53,1364672.0,復華日本龍頭
2026-01-06,00951,TWSE,11.87,4372523.0,台新日本半導體
2026-01-06,00952,TWSE,12.04,3964816.0,凱基台灣AI50
2026-01-06,00953B,TWSE,9.76,50042687.0,群益優選非投等債
2026-01-06,00954,TWSE,12.7,2205130.0,中信日本半導體
2026-01-06,00956,TWSE,11.53,482296.0,中信日經高股息
2026-01-06,00960,TWSE,14.31,556657.0,野村全球航運龍頭
2026-01-06,00961,TWSE,9.49,5661178.0,FT臺灣永續高息
2026-01-06,00962,TWSE,10.87,412571.0,台新AI優息動能
2026-01-06,00963,TWSE,11.57,922582.0,中信全球高股息
2026-01-06,00964,TWSE,11.81,2370875.0,中信亞太高股息
2026-01-06,00965,TWSE,23.45,8295740.0,元大航太防衛科技
2026-01-06,00971,TWSE,15.99,1612221.0,野村美國研發龍頭
2026-01-06,00972,TWSE,18.13,68864.0,野村日本動能高息
2026-01-06,009800,TWSE,11.07,3845133.0,中信NASDAQ
2026-01-06,009801,TWSE,11.13,2076513.0,中信美國創新科技
2026-01-06,009802,TWSE,11.56,7688832.0,富邦旗艦50
2026-01-06,009803,TWSE,13.57,3409437.0,保德信市值動能50
2026-01-06,009804,TWSE,15.24,1903322.0,聯邦台精彩50
2026-01-06,009805,TWSE,12.7,12242743.0,新光美國電力基建
2026-01-06,009808,TWSE,20.59,1320694.0,華南永昌優選50
2026-01-06,009809,TWSE,10.96,3243532.0,富邦淨零ESG50
2026-01-06,00980A,TWSE,15.39,15422092.0,主動野村臺灣優選
2026-01-06,009810,TWSE,18.62,189697.0,保德信全球藍籌
2026-01-06,009811,TWSE,11.74,5689271.0,統一美國50
2026-01-06,009812,TWSE,10.84,1496928.0,野村日本東證
2026-01-06,009813,TWSE,10.54,17530800.0,貝萊德標普卓越50
2026-01-06,00981A,TWSE,16.82,131759034.0,主動統一台股增長
2026-01-06,00981T,TWSE,10.79,3690888.0,平衡凱基雙核收息
2026-01-06,00982A,TWSE,14.69,53548717.0,主動群益台灣強棒
2026-01-06,00982D,TWSE,10.14,2073008.0,主動富邦動態入息
2026-01-06,00982T,TWSE,10.6,8734898.0,平衡兆豐台美動能
2026-01-06,00983A,TWSE,11.92,4236210.0,主動中信ARK創新
2026-01-06,00983D,TWSE,10.23,1150748.0,主動富邦複合收益
2026-01-06,00984A,TWSE,11.27,8951056.0,主動安聯台灣高息
2026-01-06,00985A,TWSE,13.88,12845320.0,主動野村台灣50
2026-01-06,00985B,TWSE,10.32,12208048.0,群益ESG投等債0-5
2026-01-06,00986A,TWSE,11.64,1073983.0,主動台新龍頭成長
2026-01-06,00987A,TWSE,10.05,19393242.0,主動台新優勢成長
2026-01-06,00988A,TWSE,10.4,47647291.0,主動統一全球創新
2026-01-06,00989A,TWSE,15.21,3460848.0,主動摩根美國科技
2026-01-06,00990A,TWSE,10.3,56596403.0,主動元大AI新經濟
2026-01-06,00991A,TWSE,10.43,89901301.0,主動復華未來50
2026-01-06,00992A,TWSE,10.42,64181701.0,主動群益科技創新
2026-01-06,01001T,TWSE,11.64,20000.0,土銀富邦R1
2026-01-06,01002T,TWSE,14.4,90010.0,土銀國泰R1
2026-01-06,01004T,TWSE,10.67,60000.0,土銀富邦R2
2026-01-06,01007T,TWSE,13.23,7000.0,兆豐國泰R2
2026-01-06,01009T,TWSE,6.8,43320.0,王道圓滿R1
2026-01-06,01010T,TWSE,10.03,9136.0,京城樂富R1
2026-01-06,020000,TWSE,18.16,1000.0,富邦特選蘋果N
2026-01-06,020011,TWSE,10.52,5000.0,統一微波高息20N
2026-01-06,020012,TWSE,14.12,2000.0,富邦行動通訊N
2026-01-06,02001L,TWSE,54.15,112000.0,富邦蘋果正二N
2026-01-06,02001R,TWSE,0.83,1106000.0,富邦蘋果反一N
2026-01-06,020020,TWSE,16.27,87000.0,元大台股領航N
2026-01-06,020028,TWSE,13.31,21000.0,元大特選電動車N
2026-01-06,020029,TWSE,9.81,64000.0,元大ESG高股息N
